#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     0                           0                           
GPU 2     0                           0                           
GPU 3     79170                       2547303526                  
GPU 2     2519712146                  78312                       
GPU 3     59510                       1745740723                  
GPU 2     1765044774                  60168                       
GPU 3     108620                      3324264106                  
GPU 2     3285389284                  107350                      
GPU 3     89227                       2692743571                  
GPU 2     2699058423                  89436                       
GPU 3     103871                      3116804224                  
GPU 2     3110201251                  103552                      
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     107497                      3295888733                  
GPU 2     3295948368                  107597                      
GPU 3     108402                      3317182853                  
GPU 2     3321449681                  108542                      
GPU 3     95767                       2879838769                  
GPU 2     2906357691                  96649                       
GPU 3     119742                      3644930830                  
GPU 2     3207527766                  106142                      
GPU 3     85193                       2584414756                  
GPU 2     2987484535                  97658                       
GPU 3     107906                      3301985376                  
GPU 2     3305628442                  108025                      
GPU 3     95959                       2885632766                  
GPU 2     2882578992                  95858                       
GPU 3     111467                      3376256928                  
GPU 2     2974553704                  99291                       
GPU 3     92191                       2814109105                  
GPU 2     3254397363                  105648                      
GPU 3     107142                      3278614418                  
GPU 2     3245412881                  106044                      
GPU 3     96384                       2898396566                  
GPU 2     2887664077                  96027                       
GPU 3     123056                      3741943841                  
GPU 2     3742438484                  123072                      
GPU 3     81194                       2466603069                  
GPU 2     2473679557                  81427                       
GPU 3     107895                      3301747685                  
GPU 2     3295480792                  107693                      
#Entity   NVLTX                       NVLRX                       
ID                                                                
GPU 3     96794                       2910613358                  
GPU 2     2907820125                  96697                       
GPU 3     121751                      3702281266                  
GPU 2     3742339842                  123069                      
GPU 3     81949                       2489523173                  
GPU 2     2465019764                  81142                       
GPU 3     108535                      3321251852                  
GPU 2     3323094352                  108596                      
GPU 3     95889                       2883513180                  
GPU 2     2879518127                  95756                       
GPU 3     123067                      3742291635                  
GPU 2     3653885406                  120015                      
GPU 3     81700                       2481959556                  
GPU 2     2576862506                  84965                       
GPU 3     106566                      3261284089                  
